city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Warszawa,Ursynów,mazowieckie,52.14916667,21.04416667,wtorny,62.90,,3,4,7,,1980,blok,p³yta,,,,,spó³dzielcze w³asnoœciowe z KW,,,,,,,piwnica,,,,,,,635000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-ursynow-ul-zwiazku-walki-mlodych/ob/18767151
Warszawa,Wola,mazowieckie,52.24592,20.96411,wtorny,50.82,,2,1,,,,,,w gara¿u,,,,,,,,,,,balkon,,,,,,,558000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wola-ul-sw-stanislawa/ob/19379531
Lublin,Czuby,lubelskie,51.2229907654583,22.5291020868469,wtorny,51.55,,2,1,4,do odœwie¿enia,1994,blok,p³yta,,,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,349000,https://gratka.pl/nieruchomosci/mieszkanie-lublin-czuby-ul-wyzynna/ob/19375517
Warszawa,Grochów,mazowieckie,52.2417378353397,21.0725448899363,wtorny,57,,3,8,11,,1975,,p³yta,,,w aneksie,,spó³dzielcze w³asnoœciowe,,,,,,,,,,,,,,683000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-grochow-ul-kinowa/ob/18871093
Poznañ,Nowe Miasto,wielkopolskie,52.39154,17.00155,pierwotny,32.90,,1,2,4,,2022,,,,,,,,,,,,,,balkon,,,,,,,253330,https://gratka.pl/nieruchomosci/nowe-mieszkanie-poznan-nowe-miasto/ob/19449973
£ódŸ,Œródmieœcie,³ódzkie,51.76166667,19.46416667,pierwotny,26.37,,1,3,5,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-lodz-srodmiescie/ob/18137851
Gdañsk,Œródmieœcie,pomorskie,54.34598,18.65757,wtorny,37.30,,2,5,6,,2020,apartamentowiec,,,,,,,,,,,,,balkon,,,,,,,850000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-srodmiescie-ul-pszenna/ob/18351433
Warszawa,Targówek,mazowieckie,52.273947,21.0806034,wtorny,54.40,,2,1,3,wysoki standard,2015,blok,,,,,,w³asnoœæ,,,,,,,,,,,,,,777200,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-targowek-ul-ponarska/ob/18757535
Gdynia,Dzia³ki Leœne,pomorskie,54.5164105989792,18.5305763828775,wtorny,67.75,,3,4,4,,1960,kamienica,,,,,,,,,,,,,balkon*piwnica,,,,,,,576000,https://gratka.pl/nieruchomosci/mieszkanie-gdynia-dzialki-lesne-ul-warszawska/ob/19234941
Mi³ki,gi¿ycki,warmiñsko-mazurskie,53.944445,21.882995,wtorny,73.05,,4,parter,3,,,blok,,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,205000,https://gratka.pl/nieruchomosci/mieszkanie-milki/ob/18348107
